Annotation,Begin_end,M003,M002,M007,M004,M005,M018,M019,M015,M016,M020,M017,M009,M013,M031,M021,M012,M014,M008,M006,M030,M010,M026,M022,M028,M027,M029,M023,M025,M001,M024,M011,D001,D002,c,ENTERHOME,Duration,Start_Date,End_Date,Start_Time,End_Time,season,weekday,preact,nextact,shift_1
Sleeping,,15,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,04-11-2010,04-11-2010,00:03:50,05:40:44,winter,Thursday,A,Bed_to_Toilet, Morning
Bed_to_Toilet,,,,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,04-11-2010,04-11-2010,05:40:51,05:43:30,winter,Thursday,Sleeping,Sleeping, Morning
Sleeping,,51,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,04-11-2010,04-11-2010,05:43:46,08:01:12,winter,Thursday,Bed_to_Toilet,Meal_Preparation,early Morning
Meal_Preparation,,,,,,,43,124,64,14,3,2,,,,,,,,,,,,,,,,,,,,,,,,,16,04-11-2010,04-11-2010,08:11:10,08:27:03,winter,Thursday,Sleeping,Meal_Preparation, Morning
Meal_Preparation,,,,,,,7,22,8,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,04-11-2010,04-11-2010,08:33:53,08:35:46,winter,Thursday,Meal_Preparation,Relax, Morning
Relax,,,,,,,,,,,3,,13,1,,,,,,,,,,,,,,,,,,,,,,,5,04-11-2010,04-11-2010,09:29:23,09:34:06,winter,Thursday,Meal_Preparation,Housekeeping, Morning
Housekeeping,,,,,,,6,,,,22,2,2,8,3,22,2,12,,,,,,,,,,,,,,,,,,,10,04-11-2010,04-11-2010,09:34:17,09:44:40,winter,Thursday,Relax,Meal_Preparation, Morning
Meal_Preparation,,,,,,,17,38,8,12,1,18,,,,,,,,,,,,,,,,,,,,,,,,,4,04-11-2010,04-11-2010,09:48:52,09:53:03,winter,Thursday,Housekeeping,Meal_Preparation, Morning
Meal_Preparation,,,,,,,9,19,6,4,,1,,,,1,,6,,,,,,,,,,,,,,,,,,,1,04-11-2010,04-11-2010,09:54:59,09:56:27,winter,Thursday,Meal_Preparation,Eating, Morning
Eating,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,2,04-11-2010,04-11-2010,09:56:42,09:59:04,winter,Thursday,Meal_Preparation,Eating, Morning
Eating,,,,,,,,,,,6,,,4,,,,33,,,,,,,,,,,,,,,,,,,3,04-11-2010,04-11-2010,09:59:48,10:02:49,winter,Thursday,Eating,Wash_Dishes, late Morning
Wash_Dishes,,,,,,,5,8,2,,2,8,,,,1,,1,1,,,,,,,,,,,,,,,,,,1,04-11-2010,04-11-2010,10:03:22,10:04:26,winter,Thursday,Eating,Housekeeping, late Morning
Housekeeping,,2,,16,,,,,,,12,,,,13,13,,,4,8,,,,,,,,,,,,,,,,,5,04-11-2010,04-11-2010,11:29:08,11:33:48,winter,Thursday,Wash_Dishes,Leave_Home, late Morning
Leave_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,04-11-2010,04-11-2010,11:41:34,11:41:43,winter,Thursday,Housekeeping,Enter_Home, late Morning
Enter_Home,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,0,04-11-2010,04-11-2010,11:43:30,11:43:35,winter,Thursday,Leave_Home,Leave_Home, late Morning
Leave_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,04-11-2010,04-11-2010,11:43:54,11:43:58,winter,Thursday,Enter_Home,Enter_Home, late Morning
Enter_Home,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,0,04-11-2010,04-11-2010,11:47:48,11:47:53,winter,Thursday,Leave_Home,Relax, late Morning
Relax,,,,,,,,,,,1,,189,1,,,,,,,,7,,,,,,,,,,,,,,,27,04-11-2010,04-11-2010,14:46:26,15:13:24,winter,Thursday,Enter_Home,Meal_Preparation,afternoon
