Index,Annotation,M005,M002,M006,M001,M009,M004,M014,M003,M015,M016,M018,M017,M008,M010,M011,M012,M007,M013,T001,T002,Duration,Patseq,Start_Date,End_Date,Start_Time,End_Time,season,weekday,preact,nextact,Shift,Sequence,R1_Annotation,R2_Annotation,R1PreActi,R2PreActi,R1NxtActi,R2NxtActi,Resident 1,Resident 2,SequenceLabel
1,Cook_Breakfast,4,4,4,8,4,23,60,158,89,19,3,3,8,2,2,,2,,,,18,,02-04-2009,02-04-2009,07:12:05,07:29:59,summer,Thursday,,,core night,"3, 15, 14",Cook_Breakfast,Cook_Breakfast,no acti,no acti,Cook_Lunch,Cook_Lunch,0,0,0
2,Cook_Lunch,38,16,8,5,5,15,68,141,59,5,2,1,2,10,4,,,,,,15,,02-04-2009,02-04-2009,07:30:04,07:45:05,summer,Thursday,,,core night,"3, 14, 15",Cook_Lunch,Cook_Lunch,Cook_Breakfast,Cook_Breakfast,R1_Snack,Others,1,1,1
3,R1_Snack,,1,1,14,2,16,22,164,169,151,6,6,1,,12,4,2,,,,27,,02-04-2009,02-04-2009,08:01:32,08:28:52,summer,Thursday,,, Morning,"15, 3, 16",R1_Snack,Others,Cook_Lunch,Cook_Lunch,R1_Snack,Others,2,8,2
4,R1_Snack,,,,4,2,3,3,7,7,4,1,1,,,2,,,,,,4,,02-04-2009,02-04-2009,08:33:52,08:38:17,summer,Thursday,,, Morning,"3, 15, 1",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,3
5,R1_Snack,,1,,10,6,10,20,76,72,103,3,3,3,,6,,5,,,,12,,02-04-2009,02-04-2009,10:17:48,10:29:58,summer,Thursday,,, late Morning,"16, 3, 15",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,4
6,R1_Snack,2,2,2,23,5,34,32,135,93,211,5,5,2,,23,30,,,,,25,,02-04-2009,02-04-2009,10:30:02,10:55:15,summer,Thursday,,, late Morning,"16, 3, 15",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,4
7,R1_Snack,,,,52,1,22,45,85,49,36,4,4,6,1,14,95,,,,,18,,02-04-2009,02-04-2009,11:41:59,11:59:59,summer,Thursday,,, late Morning,"12, 3, 1",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,5
8,R1_Snack,1,3,1,16,3,22,15,29,9,2,1,1,2,,22,,1,,,,13,,02-04-2009,02-04-2009,12:00:00,12:12:44,summer,Thursday,,,Noon,"3, 4, 11",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,6
9,R1_Snack,,,,2,2,12,17,20,6,4,3,3,3,3,4,178,1,,,,6,,02-04-2009,02-04-2009,17:23:12,17:29:05,summer,Thursday,,,afternoon,"3, 14, 4",R1_Snack,Others,R1_Snack,Others,R1_Snack,Others,2,8,7
10,R1_Snack,,1,1,42,9,20,84,212,101,28,4,4,2,4,13,4,6,,,,21,,02-04-2009,02-04-2009,17:31:53,17:53:22,summer,Thursday,,,afternoon,"3, 15, 14",R1_Snack,Others,R1_Snack,Others,Watch_TV,Watch_TV,2,8,0
