"end_time";"person_id";"start_time";"type";"date";"duration";"is_high_level";"plausability";"provider"
"2015-02-22 00:22:36.228";"10136";"2015-02-22 00:19:30.711";"BoilerOn";"2015-02-22";"185";"0";"1";"SmartPlug"
"2015-02-22 00:24:06.377";"10136";"2015-02-22 00:23:32.685";"BoilerOn";"2015-02-22";"33";"0";"1";"SmartPlug"
"2015-03-04 21:12:52.151";"10136";"2015-03-04 21:05:06.447";"CookerOn";"2015-03-04";"465";"0";"1";"SmartPlug"
"2015-03-04 21:23:40.550";"10136";"2015-03-04 21:19:17.268";"CookerOn";"2015-03-04";"263";"0";"1";"SmartPlug"
"2015-03-04 21:25:12.996";"10136";"2015-03-04 21:23:52.928";"CookerOn";"2015-03-04";"80";"0";"1";"SmartPlug"
"2015-03-04 21:26:05.893";"10136";"2015-03-04 21:25:35.515";"CookerOn";"2015-03-04";"30";"0";"1";"SmartPlug"
"2015-03-04 21:29:04.817";"10136";"2015-03-04 21:27:32.781";"TvOn";"2015-03-04";"92";"0";"1";"SmartPlug"
"2015-03-04 22:05:11.031";"10136";"2015-03-04 22:01:55.750";"BoilerOn";"2015-03-04";"195";"0";"1";"SmartPlug"
"2015-03-04 22:06:24.890";"10136";"2015-03-04 22:05:44.285";"BoilerOn";"2015-03-04";"40";"0";"1";"SmartPlug"
"2015-03-04 22:08:08.446";"10136";"2015-03-04 22:07:37.933";"BoilerOn";"2015-03-04";"30";"0";"1";"SmartPlug"
"2015-03-04 23:04:03.985";"10136";"2015-03-04 23:03:43.950";"TvOn";"2015-03-04";"20";"0";"1";"SmartPlug"
"2015-03-04 23:07:47.414";"10136";"2015-03-04 23:04:16.267";"TvOn";"2015-03-04";"211";"0";"1";"SmartPlug"
"2015-03-04 23:29:23.706";"10136";"2015-03-04 23:08:00.154";"TvOn";"2015-03-04";"1283";"0";"1";"SmartPlug"
"2015-03-04 23:30:16.359";"10136";"2015-03-04 23:29:35.999";"TvOn";"2015-03-04";"40";"0";"1";"SmartPlug"
"2015-03-04 23:34:11.185";"10136";"2015-03-04 23:30:28.470";"TvOn";"2015-03-04";"222";"0";"1";"SmartPlug"
"2015-03-04 23:34:33.403";"10136";"2015-03-04 23:34:23.500";"TvOn";"2015-03-04";"9";"0";"1";"SmartPlug"
"2015-03-05 00:25:53.841";"10136";"2015-03-04 23:35:46.338";"TvOn";"2015-03-04";"3007";"0";"1";"SmartPlug"
"2015-03-05 09:23:36.802";"10136";"2015-03-05 09:20:28.789";"BoilerOn";"2015-03-05";"188";"0";"1";"SmartPlug"
"2015-03-05 09:25:00.694";"10136";"2015-03-05 09:24:19.776";"BoilerOn";"2015-03-05";"40";"0";"1";"SmartPlug"
"2015-03-05 09:26:34.206";"10136";"2015-03-05 09:25:53.513";"BoilerOn";"2015-03-05";"40";"0";"1";"SmartPlug"
"2015-03-05 09:28:48.443";"10136";"2015-03-05 09:28:17.791";"BoilerOn";"2015-03-05";"30";"0";"1";"SmartPlug"
"2015-03-05 10:47:30.440";"10136";"2015-03-05 10:44:36.571";"BoilerOn";"2015-03-05";"173";"0";"1";"SmartPlug"
"2015-03-05 10:48:43.357";"10136";"2015-03-05 10:47:53.061";"BoilerOn";"2015-03-05";"50";"0";"1";"SmartPlug"
"2015-03-05 10:49:46.774";"10136";"2015-03-05 10:49:16.044";"BoilerOn";"2015-03-05";"30";"0";"1";"SmartPlug"
"2015-03-05 10:51:09.920";"10136";"2015-03-05 10:50:39.915";"BoilerOn";"2015-03-05";"30";"0";"1";"SmartPlug"
"2015-03-05 10:53:03.101";"10136";"2015-03-05 10:52:22.985";"BoilerOn";"2015-03-05";"40";"0";"1";"SmartPlug"
"2015-03-05 12:44:16.415";"10136";"2015-03-05 12:42:31.676";"TvOn";"2015-03-05";"104";"0";"1";"SmartPlug"
"2015-03-05 12:46:30.585";"10136";"2015-03-05 12:45:29.455";"TvOn";"2015-03-05";"61";"0";"1";"SmartPlug"
"2015-03-05 12:48:43.535";"10136";"2015-03-05 12:48:33.605";"TvOn";"2015-03-05";"9";"0";"1";"SmartPlug"
"2015-03-05 12:49:27.155";"10136";"2015-03-05 12:49:06.711";"TvOn";"2015-03-05";"20";"0";"1";"SmartPlug"
"2015-03-05 12:50:23.226";"10136";"2015-03-05 12:50:12.741";"TvOn";"2015-03-05";"10";"0";"1";"SmartPlug"
"2015-03-05 12:51:25.818";"10136";"2015-03-05 12:51:15.899";"TvOn";"2015-03-05";"9";"0";"1";"SmartPlug"
"2015-03-05 12:52:00.055";"10136";"2015-03-05 12:51:38.034";"TvOn";"2015-03-05";"22";"0";"1";"SmartPlug"
"2015-03-05 12:52:24.504";"10136";"2015-03-05 12:52:14.543";"TvOn";"2015-03-05";"9";"0";"1";"SmartPlug"
"2015-03-05 12:53:18.621";"10136";"2015-03-05 12:52:48.580";"TvOn";"2015-03-05";"30";"0";"1";"SmartPlug"
"2015-03-05 12:54:54.619";"10136";"2015-03-05 12:54:44.101";"TvOn";"2015-03-05";"10";"0";"1";"SmartPlug"
"2015-03-05 12:55:46.992";"10136";"2015-03-05 12:55:36.986";"TvOn";"2015-03-05";"10";"0";"1";"SmartPlug"
"2015-03-05 12:57:12.161";"10136";"2015-03-05 12:56:52.258";"TvOn";"2015-03-05";"19";"0";"1";"SmartPlug"
"2015-03-05 12:57:58.013";"10136";"2015-03-05 12:57:48.062";"TvOn";"2015-03-05";"9";"0";"1";"SmartPlug"
"2015-03-05 15:11:48.020";"10136";"2015-03-05 15:00:35.258";"CookerOn";"2015-03-05";"672";"0";"1";"SmartPlug"
"2015-03-05 15:22:24.310";"10136";"2015-03-05 15:18:01.704";"CookerOn";"2015-03-05";"262";"0";"1";"SmartPlug"
"2015-03-05 15:24:26.594";"10136";"2015-03-05 15:23:06.484";"CookerOn";"2015-03-05";"80";"0";"1";"SmartPlug"
"2015-03-05 15:30:12.843";"10136";"2015-03-05 15:28:02.023";"CookerOn";"2015-03-05";"130";"0";"1";"SmartPlug"
"2015-03-05 15:31:55.756";"10136";"2015-03-05 15:30:55.238";"CookerOn";"2015-03-05";"60";"0";"1";"SmartPlug"
"2015-03-05 15:33:29.699";"10136";"2015-03-05 15:32:28.626";"CookerOn";"2015-03-05";"61";"0";"1";"SmartPlug"
"2015-03-05 15:35:53.761";"10136";"2015-03-05 15:34:12.100";"CookerOn";"2015-03-05";"101";"0";"1";"SmartPlug"
"2015-03-05 15:37:50.209";"10136";"2015-03-05 15:36:42.292";"CookerOn";"2015-03-05";"67";"0";"1";"SmartPlug"
"2015-03-05 21:04:32.849";"10136";"2015-03-05 20:59:04.230";"CookerOn";"2015-03-05";"328";"0";"1";"SmartPlug"
"2015-03-05 21:10:19.977";"10136";"2015-03-05 21:08:36.506";"TvOn";"2015-03-05";"103";"0";"1";"SmartPlug"
"2015-03-05 21:23:09.815";"10136";"2015-03-05 21:10:31.992";"TvOn";"2015-03-05";"757";"0";"1";"SmartPlug"
"2015-03-05 21:51:23.757";"10136";"2015-03-05 21:23:22.098";"TvOn";"2015-03-05";"1681";"0";"1";"SmartPlug"
"2015-03-05 22:10:52.921";"10136";"2015-03-05 22:08:14.996";"BoilerOn";"2015-03-05";"157";"0";"1";"SmartPlug"
"2015-03-05 22:12:23.304";"10136";"2015-03-05 22:11:39.304";"BoilerOn";"2015-03-05";"44";"0";"1";"SmartPlug"
